name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,merger_type,energy_released,E_GW,frequency,lookback_time,luminosity_distance_m,luminosity,luminosity_distance_lower_m,luminosity_distance_upper_m,luminosity_lower,luminosity_upper
GW200208_130117,GW200208_130117-v1,1265202095.9,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200208_130117-v1,37.7,-6.2,9.3,27.4,-7.3,6.3,10.8,-0.4,0.3,2230.0,-850.0,1020.0,-0.07,-0.27,0.21,65.3,-6.8,8.1,27.7,-3.1,3.7,27.908657765511922,,,0.4,-0.14,0.15,0.00031,,,0.99,,,62.5,-6.4,7.5,BH-BH,2.3367634647157206e+17,2.339999999999995e+17,65.06676052501416,4.41673799576294,6.88178e+25,5.9512943862579487e+26,-2.6231e+25,3.14772e+25,8.646484333228836e+25,1.2450937439849524e+26
GW200202_154313,GW200202_154313-v1,1264693411.5,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200202_154313-v1,10.1,-1.4,3.5,7.3,-1.7,1.1,10.8,-0.4,0.2,410.0,-160.0,150.0,0.04,-0.06,0.13,17.58,-0.67,1.78,7.49,-0.2,0.24,7.455498560402835,,,0.09,-0.03,0.03,1e-05,,,0.99,,,16.76,-0.66,1.87,BH-BH,5.7520331439156056e+16,5.759999999999973e+16,22.554447458683764,1.219210961688195,1.26526e+25,2.011728742443969e+25,-4.9376e+24,4.629e+24,3.063667805268626e+24,2.6926767819743783e+24
GW200201_203549,200201_203549-v1,1264624567.0,1,GWTC-3-marginal,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200201_203549-v1,,,,,,,9.046,,,,,,,,,,,,,,,,,,,,,1.4,,,0.116,,,,,,Unknown,,,36.29301836816963,0.0,,,,,,
GW200129_065458,GW200129_065458-v1,1264316116.4,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200129_065458-v1,34.5,-3.1,9.9,29.0,-9.3,3.3,26.8,-0.2,0.2,890.0,-370.0,260.0,0.11,-0.16,0.11,63.3,-3.4,4.5,27.2,-2.3,2.1,27.51537972950869,,,0.18,-0.07,0.05,1e-05,,,0.99,,,60.2,-3.2,4.1,BH-BH,2.965892089831496e+17,2.9699999999999974e+17,42.97256589643225,2.2915529145627493,2.74654e+25,9.479419017786245e+25,-1.1418200000000001e+25,8.023600000000001e+24,1.6383442286768551e+25,8.089997798287467e+24
GW200128_022011,GW200128_022011-v1,1264213229.9,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200128_022011-v1,42.2,-8.1,11.6,32.6,-9.2,9.5,10.6,-0.4,0.3,3400.0,-1800.0,2100.0,0.12,-0.25,0.24,75.0,-12.0,17.0,32.0,-5.5,7.5,32.235744955915486,,,0.56,-0.28,0.28,0.0043,,,0.99,,,71.0,-11.0,16.0,BH-BH,3.415269679199917e+17,3.42000000000001e+17,51.046298579533236,5.618376762815243,1.04924e+26,1.3834374933166137e+27,-5.5548e+25,6.4806e+25,3.877454566043104e+26,5.2776464926697816e+26
200121_031748,200121_031748-v1,1263611886.9,1,GWTC-3-marginal,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/200121_031748-v1,,,,,,,10.69,,,,,,,,,,,,,,,,,,,,,1.1,,,0.23,,,,,,Unknown,,,80.66583652537122,0.0,,,,,,
GW200115_042309,GW200115-v1,1263097407.7,1,O3_Discovery_Papers,https://doi.org/10.7935/km62-2436,http://gwosc.org/api/v2/event-versions/GW200115_042309-v1,5.7,-2.1,1.8,1.5,-0.3,0.7,11.6,,,300.0,-100.0,150.0,-0.19,-0.35,0.23,7.1,-1.4,1.5,2.42,-0.07,0.05,2.441817318069297,-0.01,0.01,0.07,-0.02,0.03,1e-05,,,,,,,,,NS-BH,,,27.970640394252378,0.9617790421303338,9.258e+24,1.0770707127897513e+25,-3.0860000000000003e+24,4.629e+24,1.1967452364330572e+24,2.6926767819743783e+24
GW200115_042309,GW200115_042309-v2,1263097407.7,2,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200115_042309-v2,5.9,-2.5,2.0,1.44,-0.28,0.85,11.3,-0.5,0.3,290.0,-100.0,150.0,-0.15,-0.42,0.23,7.4,-1.7,1.7,2.43,-0.07,0.05,2.423201282948009,,,0.06,-0.02,0.03,1e-05,,,0.99,,,7.2,-1.7,1.8,NS-BH,1.2582572502315418e+16,1.2599999999999972e+16,56.28109945722505,0.8302705679464475,8.949400000000001e+24,1.006462743840201e+25,-3.0860000000000003e+24,4.629e+24,1.1967452364330572e+24,2.6926767819743783e+24
200114_020818,200114_020818-v1,1263002916.2,1,O3_IMBH_marginal,https://doi.org/10.7935/7583-5j44,http://gwosc.org/api/v2/event-versions/200114_020818-v1,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,0.058,,,,,,,,,Unknown,,,63.31731119758382,0.0,,,,,,
GW200112_155838,GW200112_155838-v1,1262879936.0,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200112_155838-v1,35.6,-4.5,6.7,28.3,-5.9,4.4,19.8,-0.2,0.1,1250.0,-460.0,430.0,0.06,-0.15,0.15,63.9,-4.6,5.7,27.4,-2.1,2.6,27.59571737822044,,,0.24,-0.08,0.07,1e-05,,,0.99,,,60.8,-4.3,5.3,BH-BH,2.786141054084142e+17,2.7900000000000077e+17,14.180537144799796,2.935277119885595,3.8575e+25,1.8699144319266514e+26,-1.4195600000000001e+25,1.3269800000000001e+25,2.532312920292349e+25,2.2127819421647227e+25
GW200105_162426,GW200105-v1,1262276684.0,1,O3_Discovery_Papers,https://doi.org/10.7935/wc8b-rz86,http://gwosc.org/api/v2/event-versions/GW200105_162426-v1,8.9,-1.5,1.2,1.9,-0.2,0.3,13.9,,,280.0,-110.0,110.0,-0.01,-0.15,0.11,10.9,-1.2,1.1,3.41,-0.07,0.08,3.390013388926019,-0.01,0.01,0.06,-0.02,0.02,0.36,,,,,,,,,NS-BH,,,64.67903667112945,0.8302705679464475,8.6408e+24,9.382482653635166e+24,-3.3946e+24,3.3946e+24,1.448061736083999e+24,1.448061736083999e+24
GW200105_162426,GW200105_162426-v2,1262276684.0,2,GWTC-3-marginal,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200105_162426-v2,9.1,-1.7,1.7,1.91,-0.24,0.33,13.7,-0.4,0.2,270.0,-110.0,120.0,0.0,-0.18,0.13,11.0,-1.4,1.5,3.42,-0.08,0.08,3.433107415877945,,,0.06,-0.02,0.02,0.2,,,0.362,,,10.8,-1.4,1.5,NS-BH,1.887385875347309e+16,1.8899999999999916e+16,25.347171131856236,0.8302705679464475,8.3322e+24,8.724272773596985e+24,-3.3946e+24,3.7032e+24,1.448061736083999e+24,1.723313140463602e+24
